,method,iterations,problem,locales,tasks,tasksPerLocale,time
0,Jacobi,18603,100,1,1,1,1166.841818181818
1,Gauss,10019,100,1,1,1,735.1027272727274
2,Jacobi,18603,100,2,2,1,739.9255454545454
3,Gauss,10019,100,2,2,1,462.53409090909093
4,Jacobi,18603,100,3,3,1,660.9206363636364
5,Gauss,10019,100,3,3,1,401.23800000000006
6,Jacobi,18603,100,4,4,1,613.6531818181818
7,Gauss,10019,100,4,4,1,363.2369090909091
8,Jacobi,18603,100,5,5,1,599.1498181818182
9,Gauss,10019,100,5,5,1,349.8571818181818
10,Jacobi,18603,100,6,6,1,624.2635454545455
11,Gauss,10019,100,6,6,1,364.7099090909091
12,Jacobi,18603,100,7,7,1,653.0766363636365
13,Gauss,10019,100,7,7,1,383.472
14,Jacobi,18603,100,8,8,1,655.8010909090909
15,Gauss,10019,100,8,8,1,379.18445454545457
16,Jacobi,18603,100,9,9,1,701.7700000000001
17,Gauss,10019,100,9,9,1,407.8074545454545
18,Jacobi,18603,100,10,10,1,715.8482727272727
19,Gauss,10019,100,10,10,1,416.73227272727274
20,Jacobi,18603,100,11,11,1,745.4893636363638
21,Gauss,10019,100,11,11,1,442.2359090909091
22,Jacobi,18603,100,12,12,1,772.7526363636364
23,Gauss,10019,100,12,12,1,452.2800000000001
24,Jacobi,41583,150,1,1,1,5824.674545454545
25,Gauss,22394,150,1,1,1,3653.092727272727
26,Jacobi,41583,150,2,2,1,3269.1336363636365
27,Gauss,22394,150,2,2,1,2044.1318181818183
28,Jacobi,41583,150,3,3,1,2502.2309090909093
29,Gauss,22394,150,3,3,1,1540.1363636363637
30,Jacobi,41583,150,4,4,1,2073.978181818182
31,Gauss,22394,150,4,4,1,1273.4136363636362
32,Jacobi,41583,150,5,5,1,1974.049090909091
33,Gauss,22394,150,5,5,1,1192.8781818181817
34,Jacobi,41583,150,6,6,1,1921.073636363636
35,Gauss,22394,150,6,6,1,1191.3515454545452
36,Jacobi,41583,150,7,7,1,1576.0227272727273
37,Gauss,22394,150,7,7,1,933.4962727272728
38,Jacobi,41583,150,8,8,1,1469.5645454545456
39,Gauss,22394,150,8,8,1,891.729
40,Jacobi,41583,150,9,9,1,1490.6145454545454
41,Gauss,22394,150,9,9,1,878.7415454545454
42,Jacobi,41583,150,10,10,1,1501.1218181818183
43,Gauss,22394,150,10,10,1,880.468
44,Jacobi,41583,150,11,11,1,1522.3927272727271
45,Gauss,22394,150,11,11,1,897.1168181818182
46,Jacobi,41583,150,12,12,1,1493.4763636363639
47,Gauss,22394,150,12,12,1,870.2897272727271
48,Jacobi,73683,200,1,1,1,16642.072727272724
49,Gauss,39680,200,1,1,1,7322.890909090908
