,method,iterations,problem,locales,tasks,tasksPerLocale,time
0,Jacobi,18603,100,1,1,1,325.92754545454545
1,Gauss,10019,100,1,1,1,193.60481818181822
2,Jacobi,18603,100,1,2,2,175.12436363636363
3,Gauss,10019,100,1,2,2,108.72793636363639
4,Jacobi,18603,100,1,3,3,128.78137272727272
5,Gauss,10019,100,1,3,3,80.52439090909091
6,Jacobi,18603,100,1,4,4,101.59682727272728
7,Gauss,10019,100,1,4,4,64.84868181818182
8,Jacobi,18603,100,1,5,5,85.90808181818183
9,Gauss,10019,100,1,5,5,56.3856
10,Jacobi,18603,100,1,6,6,77.48647272727273
11,Gauss,10019,100,1,6,6,51.03124545454546
12,Jacobi,18603,100,1,7,7,72.82469999999999
13,Gauss,10019,100,1,7,7,48.1141909090909
14,Jacobi,18603,100,1,8,8,67.52236363636365
15,Gauss,10019,100,1,8,8,46.35345454545454
16,Jacobi,18603,100,1,9,9,66.84619090909092
17,Gauss,10019,100,1,9,9,46.16972727272727
18,Jacobi,18603,100,1,10,10,65.39682727272726
19,Gauss,10019,100,1,10,10,46.35755454545455
20,Jacobi,18603,100,1,11,11,65.97126363636363
21,Gauss,10019,100,1,11,11,47.33571818181817
22,Jacobi,18603,100,1,12,12,66.00065454545455
23,Gauss,10019,100,1,12,12,207.55958181818184
24,Jacobi,41583,150,1,1,1,1616.7118181818184
25,Gauss,22394,150,1,1,1,966.4165454545455
26,Jacobi,41583,150,1,2,2,858.0823636363635
27,Gauss,22394,150,1,2,2,533.8296363636363
28,Jacobi,41583,150,1,3,3,616.2691818181818
29,Gauss,22394,150,1,3,3,387.07327272727275
30,Jacobi,41583,150,1,4,4,485.37318181818176
31,Gauss,22394,150,1,4,4,308.33799999999997
32,Jacobi,41583,150,1,5,5,405.134
33,Gauss,22394,150,1,5,5,259.8555454545454
34,Jacobi,41583,150,1,6,6,348.0802727272727
35,Gauss,22394,150,1,6,6,226.61218181818185
36,Jacobi,41583,150,1,7,7,321.931
37,Gauss,22394,150,1,7,7,206.46545454545455
38,Jacobi,41583,150,1,8,8,287.62163636363636
39,Gauss,22394,150,1,8,8,188.9229090909091
40,Jacobi,41583,150,1,9,9,270.33854545454545
41,Gauss,22394,150,1,9,9,178.5290909090909
42,Jacobi,41583,150,1,10,10,254.77027272727273
43,Gauss,22394,150,1,10,10,172.26245454545457
44,Jacobi,41583,150,1,11,11,245.56781818181815
45,Gauss,22394,150,1,11,11,167.43754545454547
46,Jacobi,41583,150,1,12,12,235.53490909090914
47,Gauss,22394,150,1,12,12,659.5352727272727
48,Jacobi,73683,200,1,1,1,5111.174545454545
49,Gauss,39680,200,1,1,1,3070.111818181818
50,Jacobi,73683,200,1,2,2,2654.517272727273
51,Gauss,39680,200,1,2,2,1657.1872727272726
52,Jacobi,73683,200,1,3,3,1918.6090909090906
53,Gauss,39680,200,1,3,3,1206.7418181818182
54,Jacobi,73683,200,1,4,4,1466.3727272727274
55,Gauss,39680,200,1,4,4,926.0611818181817
56,Jacobi,73683,200,1,5,5,1198.0302727272726
57,Gauss,39680,200,1,5,5,771.3227272727273
58,Jacobi,73683,200,1,6,6,1046.9717272727273
59,Gauss,39680,200,1,6,6,675.7357272727273
60,Jacobi,73683,200,1,7,7,965.2554545454547
61,Gauss,39680,200,1,7,7,618.0316363636364
62,Jacobi,73683,200,1,8,8,837.2676363636364
63,Gauss,39680,200,1,8,8,543.6238181818181
64,Jacobi,73683,200,1,9,9,788.1664545454546
65,Gauss,39680,200,1,9,9,505.20872727272723
66,Jacobi,73683,200,1,10,10,717.711909090909
67,Gauss,39680,200,1,10,10,475.2522727272728
68,Jacobi,73683,200,1,11,11,698.5495454545454
69,Gauss,39680,200,1,11,11,451.1244545454545
70,Jacobi,73683,200,1,12,12,639.6293636363637
71,Gauss,39680,200,1,12,12,367.9053636363637
