method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,306.543
Gauss,10019,100,1,1,1,184.137
Jacobi,18603,100,1,2,2,170.912
Gauss,10019,100,1,2,2,103.409
Jacobi,18603,100,1,3,3,137.929
Gauss,10019,100,1,3,3,81.4365
Jacobi,18603,100,1,4,4,104.829
Gauss,10019,100,1,4,4,62.8205
Jacobi,18603,100,1,5,5,88.4942
Gauss,10019,100,1,5,5,53.7647
Jacobi,18603,100,1,6,6,80.273
Gauss,10019,100,1,6,6,48.9133
Jacobi,18603,100,1,7,7,75.7624
Gauss,10019,100,1,7,7,47.121
Jacobi,18603,100,1,8,8,70.2788
Gauss,10019,100,1,8,8,43.9053
Jacobi,18603,100,1,9,9,69.9637
Gauss,10019,100,1,9,9,44.7872
Jacobi,18603,100,1,10,10,69.1399
Gauss,10019,100,1,10,10,45.9814
Jacobi,18603,100,1,11,11,70.9318
Gauss,10019,100,1,11,11,47.1256
Jacobi,18603,100,1,12,12,71.4143
Gauss,10019,100,1,12,12,49.1448
Jacobi,41583,150,1,1,1,1550.42
Gauss,22394,150,1,1,1,930.385
Jacobi,41583,150,1,2,2,842.741
Gauss,22394,150,1,2,2,508.271
Jacobi,41583,150,1,3,3,649.749
Gauss,22394,150,1,3,3,394.101
Jacobi,41583,150,1,4,4,493.045
Gauss,22394,150,1,4,4,295.971
Jacobi,41583,150,1,5,5,402.986
Gauss,22394,150,1,5,5,243.991
Jacobi,41583,150,1,6,6,354.012
Gauss,22394,150,1,6,6,216.416
Jacobi,41583,150,1,7,7,331.165
Gauss,22394,150,1,7,7,199.959
Jacobi,41583,150,1,8,8,293.997
Gauss,22394,150,1,8,8,174.905
Jacobi,41583,150,1,9,9,270.815
Gauss,22394,150,1,9,9,163.998
Jacobi,41583,150,1,10,10,266.088
Gauss,22394,150,1,10,10,164.037
Jacobi,41583,150,1,11,11,260.687
Gauss,22394,150,1,11,11,162.232
Jacobi,41583,150,1,12,12,253.204
Gauss,22394,150,1,12,12,162.688
Jacobi,73683,200,1,1,1,4847.94
Gauss,39680,200,1,1,1,2930.32
Jacobi,73683,200,1,2,2,2598.4
Gauss,39680,200,1,2,2,1595.5
Jacobi,73683,200,1,3,3,2015.3
Gauss,39680,200,1,3,3,1230.89
Jacobi,73683,200,1,4,4,1510.26
Gauss,39680,200,1,4,4,907.533
Jacobi,73683,200,1,5,5,1219.26
Gauss,39680,200,1,5,5,743.364
Jacobi,73683,200,1,6,6,1074.0
Gauss,39680,200,1,6,6,652.067
Jacobi,73683,200,1,7,7,978.592
Gauss,39680,200,1,7,7,597.546
Jacobi,73683,200,1,8,8,891.331
Gauss,39680,200,1,8,8,511.531
Jacobi,73683,200,1,9,9,793.555
Gauss,39680,200,1,9,9,458.79
Jacobi,73683,200,1,10,10,755.315
Gauss,39680,200,1,10,10,457.343
Jacobi,73683,200,1,11,11,732.107
Gauss,39680,200,1,11,11,431.797
Jacobi,73683,200,1,12,12,685.875
Gauss,39680,200,1,12,12,418.596
