method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,32406.543
Gauss,10019,100,1,1,1,111184.137
Jacobi,18603,100,1,2,2,170.912
Gauss,10019,100,1,2,2,103.409
Jacobi,18603,100,1,3,3,137.929
Gauss,10019,100,1,3,3,81.4365
Jacobi,18603,100,1,4,4,104.829
Gauss,10019,100,1,4,4,62.8205
Jacobi,18603,100,1,5,5,88.4942
Gauss,10019,100,1,5,5,53.7647
Jacobi,18603,100,1,6,6,80.273
Gauss,10019,100,1,6,6,48.9133
Jacobi,18603,100,1,7,7,75.7624
Gauss,10019,100,1,7,7,47.121
Jacobi,18603,100,1,8,8,70.2788
Gauss,10019,100,1,8,8,43.9053
Jacobi,18603,100,1,9,9,69.9637
Gauss,10019,100,1,9,9,44.7872
Jacobi,18603,100,1,10,10,69.1399
Gauss,10019,100,1,10,10,45.9814
Jacobi,18603,100,1,11,11,70.9318
Gauss,10019,100,1,11,11,47.1256
Jacobi,18603,100,1,12,12,71.4143
Gauss,10019,100,1,12,12,49.1448
Jacobi,41583,150,1,1,1,1550.42
Gauss,22394,150,1,1,1,930.385
